SES,REGION,START_AGE,END_AGE,POPULATION,MORTALITY_RATE,MORBIDITY_RATE
1,South,0,4,311596,0.001155864,0.886
1,South,5,9,293344,8.24E-05,0.886
1,South,10,14,249495,9.99E-05,0.886
1,South,15,19,244118,0.000172629,0.886
1,South,20,24,288718,0.000205468,0.88854
1,South,25,29,354233,0.000293161,0.89154
1,South,30,34,346884,0.000563421,0.89151
1,South,35,39,295849,0.001010717,0.864
1,South,40,44,258714,0.001500617,0.8297
1,South,45,49,261645,0.002421396,0.8158
1,South,50,54,244306,0.003832292,0.8001
1,South,55,59,199919,0.006217076,0.764
1,South,60,64,158643,0.009769546,0.756
1,South,65,69,140202,0.015390209,0.776
1,South,70,74,104512,0.024341539,0.721
1,South,75,79,82863,0.038982804,0.713
1,South,80,84,61335,0.067027064,0.685
1,South,85,99,62940,0.148652131,0.647
2,South,0,4,441390,0.000918199,0.9222
2,South,5,9,408082,7.61E-05,0.9222
2,South,10,14,342145,0.000112783,0.9222
2,South,15,19,348838,0.000151627,0.9222
2,South,20,24,443511,0.000195319,0.92474
2,South,25,29,554578,0.000280945,0.92774
2,South,30,34,557211,0.00040481,0.92771
2,South,35,39,480639,0.000669992,0.9002
2,South,40,44,417174,0.001143064,0.8659
2,South,45,49,419776,0.001873769,0.852
2,South,50,54,401286,0.002879499,0.8363
2,South,55,59,340171,0.004746824,0.8002
2,South,60,64,283023,0.007434617,0.7922
2,South,65,69,274930,0.011118524,0.8122
2,South,70,74,209326,0.019266641,0.7572
2,South,75,79,160797,0.032741676,0.7492
2,South,80,84,121147,0.058815067,0.7212
2,South,85,99,127024,0.146840664,0.6832
3,South,0,4,399440,0.000744103,0.9322
3,South,5,9,384360,0.000101844,0.9322
3,South,10,14,332730,5.86E-05,0.9322
3,South,15,19,340559,0.000142438,0.9322
3,South,20,24,398325,0.000197458,0.93474
3,South,25,29,470981,0.000231192,0.93774
3,South,30,34,482844,0.000311899,0.93771
3,South,35,39,450707,0.000550791,0.9102
3,South,40,44,423566,0.000926446,0.8759
3,South,45,49,446483,0.001485157,0.862
3,South,50,54,445506,0.002392318,0.8463
3,South,55,59,388698,0.003867345,0.8102
3,South,60,64,341063,0.005844164,0.8022
3,South,65,69,355939,0.009118581,0.8222
3,South,70,74,279771,0.015745053,0.7672
3,South,75,79,208730,0.027721639,0.7592
3,South,80,84,159427,0.052693615,0.7312
3,South,85,99,165176,0.143630278,0.6932
4,South,0,4,357556,0.000694415,0.9642
4,South,5,9,363193,7.36E-05,0.9642
4,South,10,14,329251,5.76E-05,0.9642
4,South,15,19,338857,0.000125804,0.9642
4,South,20,24,347507,0.000200043,0.96674
4,South,25,29,388030,0.000217193,0.96974
4,South,30,34,399013,0.000332081,0.96971
4,South,35,39,407456,0.000454719,0.9422
4,South,40,44,409848,0.000740268,0.9079
4,South,45,49,445241,0.001261113,0.894
4,South,50,54,450218,0.002057673,0.8783
4,South,55,59,392181,0.003256409,0.8422
4,South,60,64,345773,0.004903139,0.8342
4,South,65,69,367404,0.007748849,0.8542
4,South,70,74,296161,0.013430724,0.7992
4,South,75,79,218274,0.02429491,0.7912
4,South,80,84,167103,0.049482362,0.7632
4,South,85,99,171838,0.140358931,0.7252
5,South,0,4,352751,0.000630487,0.9765
5,South,5,9,397463,6.17E-05,0.9765
5,South,10,14,377431,7.26E-05,0.9765
5,South,15,19,382330,0.000114493,0.9765
5,South,20,24,321743,0.000163246,0.97904
5,South,25,29,319556,0.000219089,0.98204
5,South,30,34,333447,0.000327058,0.98201
5,South,35,39,395262,0.000430178,0.9545
5,South,40,44,445971,0.000619564,0.9202
5,South,45,49,494500,0.001036452,0.9063
5,South,50,54,499183,0.00158885,0.8906
5,South,55,59,432881,0.002691127,0.8545
5,South,60,64,376587,0.004319973,0.8465
5,South,65,69,410764,0.006818383,0.8665
5,South,70,74,332962,0.011529006,0.8115
5,South,75,79,244599,0.021581623,0.8035
5,South,80,84,191612,0.043666845,0.7755
5,South,85,99,192069,0.132122946,0.7375
1,North,0,4,578378,0.001523328,0.876
1,North,5,9,550388,9.42E-05,0.876
1,North,10,14,466609,0.000133616,0.876
1,North,15,19,462582,0.000392516,0.876
1,North,20,24,553163,0.000575011,0.87854
1,North,25,29,591605,0.000750525,0.88154
1,North,30,34,554310,0.001056546,0.88151
1,North,35,39,475249,0.001706917,0.854
1,North,40,44,439341,0.002965953,0.8197
1,North,45,49,469966,0.004255367,0.8058
1,North,50,54,448845,0.006209258,0.7901
1,North,55,59,389422,0.00961531,0.754
1,North,60,64,326017,0.015713781,0.746
1,North,65,69,305264,0.02369518,0.766
1,North,70,74,225756,0.036441382,0.711
1,North,75,79,181813,0.056973875,0.703
1,North,80,84,133670,0.0925253,0.675
1,North,85,99,127549,0.175437667,0.637
2,North,0,4,311512,0.001130457,0.9122
2,North,5,9,299937,0.00011404,0.9122
