REGION,SES,POPULATION,POLICY_NO_NRT,POLICY_UNIVERSAL_NRT,POLICY_PROPORTIONAL_UNIVERSAL_NRT
North,IMD Q1,7279927,61.925214,61.925367,61.925418
South,IMD Q1,3959316,65.953455,65.953561,65.953577
North,IMD Q2,5050982,66.816952,66.817065,66.817076
North,IMD Q3,4616011,68.975036,68.975148,68.975135
South,IMD Q2,6331048,70.344928,70.345009,70.345002
South,IMD Q3,6474305,72.213544,72.213647,72.213622
North,IMD Q4,4701015,72.648215,72.648287,72.648266
North,IMD Q5,4159448,74.561156,74.56122,74.561201
South,IMD Q4,6194904,75.597859,75.597916,75.597895
South,IMD Q5,6501111,77.323144,77.323204,77.323185
